check_number,session_start
6729,08:42:00.000
6982,15:30:00.000
8219,14:15:00.000
6116,15:00:00.000
7707,08:42:00.000
1032,21:00:00.000
9219,21:00:00.000
183,22:30:00.000
6775,06:00:00.000
7098,06:00:00.000
4923,21:00:00.000
1222,15:30:00.000
4997,21:00:00.000
2678,08:42:00.000
1592,07:00:00.000
819,21:00:00.000
6079,22:30:00.000
3944,22:30:00.000
2409,06:15:00.000
6916,21:00:00.000
3369,08:42:00.000
2798,23:42:00.000
3649,07:30:00.000
2851,23:42:00.000
5530,08:42:00.000
9069,23:42:00.000
9312,15:30:00.000
2922,07:00:00.000
6942,22:30:00.000
972,21:00:00.000
4757,23:42:00.000
5009,14:00:00.000
2674,22:30:00.000
1987,07:30:00.000
7989,23:42:00.000
2647,15:00:00.000
4501,14:15:00.000
3145,23:42:00.000
9122,21:00:00.000
7286,22:15:00.000
292,14:15:00.000
3551,07:30:00.000
4145,23:42:00.000
1783,08:42:00.000
2685,15:30:00.000
9902,15:30:00.000
5694,15:34:00.000
2936,14:15:00.000
1404,14:15:00.000
7165,06:00:00.000
9214,22:30:00.000
9470,21:00:00.000
7638,22:30:00.000
6368,06:00:00.000
9419,15:30:00.000
3275,08:42:00.000
4584,22:30:00.000
331,22:30:00.000
421,15:00:00.000
5873,15:34:00.000
9984,06:00:00.000
3230,08:42:00.000
3301,21:00:00.000
5618,21:00:00.000
2857,15:34:00.000
5669,15:34:00.000
4194,14:00:00.000
8749,06:00:00.000
4535,22:30:00.000
9992,14:00:00.000
1256,15:30:00.000
6946,22:30:00.000
8511,06:00:00.000
760,06:15:00.000
3064,22:30:00.000
9565,06:15:00.000
769,07:30:00.000
800,06:15:00.000
4646,08:42:00.000
1954,06:00:00.000
1402,23:42:00.000
9293,15:30:00.000
9881,15:00:00.000
8716,08:42:00.000
6573,21:00:00.000
226,07:00:00.000
7256,21:00:00.000
7507,22:15:00.000
8251,14:15:00.000
8662,22:15:00.000
2476,15:34:00.000
193,07:30:00.000
1810,06:00:00.000
7827,21:00:00.000
8614,14:15:00.000
445,21:00:00.000
1057,22:30:00.000
6743,08:42:00.000
1219,06:00:00.000
44,22:15:00.000
9858,14:00:00.000
4109,06:00:00.000
4933,14:15:00.000
2799,06:15:00.000
2912,14:00:00.000
8746,07:00:00.000
7174,15:00:00.000
4764,15:34:00.000
7739,15:00:00.000
4414,21:00:00.000
7247,15:30:00.000
9502,15:00:00.000
6409,21:00:00.000
8858,23:42:00.000
4257,14:15:00.000
5544,08:42:00.000
5644,15:00:00.000
4941,14:00:00.000
5317,06:00:00.000
7399,07:30:00.000
2724,06:15:00.000
2126,07:30:00.000
3677,07:30:00.000
5790,21:00:00.000
5824,15:00:00.000
7482,22:15:00.000
1998,23:42:00.000
9601,06:15:00.000
5452,22:15:00.000
9147,21:00:00.000
1176,08:42:00.000
7401,15:34:00.000
7007,07:30:00.000
1474,23:42:00.000
1066,22:15:00.000
8241,22:30:00.000
5912,15:34:00.000
816,06:15:00.000
5936,07:00:00.000
5886,14:00:00.000
1229,14:00:00.000
8912,22:15:00.000
2325,07:30:00.000
2613,14:00:00.000
262,22:30:00.000
7514,21:00:00.000
3479,22:30:00.000
8227,22:15:00.000
3685,06:15:00.000
4177,21:00:00.000
4647,15:00:00.000
2648,22:15:00.000
6618,06:15:00.000
3344,21:00:00.000
5662,15:30:00.000
6876,06:15:00.000
9603,22:30:00.000
7026,08:42:00.000
4915,14:00:00.000
7673,06:00:00.000
5032,14:00:00.000
3378,14:15:00.000
906,21:00:00.000
